class,f1-score,recall,Specificity,precision,ROC_AUC_score,matthews_corrcoef,accuracy
AA,0,0,1,0,0.785265182862984,0.271901009780722,0.7
AI,0.44,0.33,0.94,0.64,0.785265182862984,0.271901009780722,0.7
IA,0,0,1,0,0.785265182862984,0.271901009780722,0.7
II,0.81,0.93,0.24,0.71,0.785265182862984,0.271901009780722,0.7
