class,f1-score,recall,precision,ROC_AUC_score,matthews_corrcoef,accuracy
AA,0,0,0,0.46,0.02,0.21
AI,0.1,0.07,0.14,0.46,0.02,0.21
IA,0.31,0.5,0.22,0.46,0.02,0.21
II,0.35,0.23,0.71,0.46,0.02,0.21
