class,f1-score,recall,Specificity,precision,ROC_AUC_score,matthews_corrcoef,accuracy
AA,0.72,0.74,0.88,0.7,0.876027332859435,0.652665224241666,0.76
AI,0.77,0.74,0.95,0.81,0.876027332859435,0.652665224241666,0.76
IA,0.48,0.44,0.96,0.54,0.876027332859435,0.652665224241666,0.76
II,0.84,0.87,0.87,0.81,0.876027332859435,0.652665224241666,0.76
