class,f1-score,recall,precision,ROC_AUC_score,matthews_corrcoef,accuracy
AA,0,0,0,0.775229283232683,0.1679006944822,0.64
AI,0.43,0.41,0.46,0.775229283232683,0.1679006944822,0.64
IA,0,0,0,0.775229283232683,0.1679006944822,0.64
II,0.75,0.81,0.7,0.775229283232683,0.1679006944822,0.64
