class,f1-score,recall,precision,ROC_AUC_score,matthews_corrcoef,accuracy
AA,0.58,0.66,0.52,0.77,0.53,0.68
AI,0.75,0.72,0.78,0.77,0.53,0.68
IA,0.35,0.27,0.5,0.77,0.53,0.68
II,0.74,0.73,0.74,0.77,0.53,0.68
