,mol2vec100,mol2vec300,chemdist,chemberta MTR,chemberta MLM,Morgan 1024,Morgan 2048,count morgan 1024,count morgan 2048,maccskey
"Knn , weight=uniform",0.528041974058578,0.54970761072153,0.438951652564872,0.537859015257923,0.475376555611436,0.532793990619913,0.540387962279257,0.582094965253821,0.617994035884801,0.525421344602327
"Knn , weight=distance",0.504856049564048,0.494962012227534,0.473817281907359,0.53203925478099,0.473354196357208,0.568157465671648,0.57044113696267,0.605705560628493,0.613190291547928,0.504858654278511
"Svm , class_weight=None",0.577505125329798,0.556563320959769,0.462496754656502,0.527846694696873,0.517840051489269,0.588349571968642,0.578913512915953,0.633600598198005,0.652665224241666,0.588887881622808
"Svm , class_weight=balanced",0.515074557798646,0.516418794303393,0.392540449735329,0.543267633439206,0.509244942729808,0.595956955593596,0.584897161402866,0.627797533056993,0.652665224241666,0.554195050373756
