,mol2vec100,mol2vec300,chemdist,chemberta MTR,chemberta MLM,Morgan 1024,Morgan 2048,count morgan 1024,count morgan 2048,maccskey
"Knn , weight=uniform",0.867245615315028,0.864705014083831,0.785036162811033,0.86939468230097,0.770922157409934,0.883560018533063,0.883828030446997,0.862377007133245,0.871336871068519,0.847512611753601
"Knn , weight=distance",0.844588144387185,0.855055773649314,0.803638056588868,0.8473735898474,0.763469575700834,0.868400155426695,0.851855810468322,0.863941769287646,0.854977547513738,0.798560559535456
"Svm , class_weight=None",0.834505079833903,0.844610199888641,0.804406362012213,0.861822956953767,0.786377490478757,0.88762805191791,0.889415817429839,0.876885998085172,0.87447464932161,0.836860990659327
"Svm , class_weight=balanced",0.845299089218909,0.858320536388083,0.784812963222487,0.865292926172194,0.785024287389221,0.894878449302948,0.894260333764376,0.888534799533969,0.876027332859435,0.845277257803453
