class,f1-score,recall,Specificity,precision,ROC_AUC_score,matthews_corrcoef,accuracy
AA,0,0,1,0,0.725045015170944,0.349318582017294,0.72
AI,0.57,0.52,0.9,0.64,0.725045015170944,0.349318582017294,0.72
IA,0,0,1,0,0.725045015170944,0.349318582017294,0.72
II,0.81,0.89,0.38,0.74,0.725045015170944,0.349318582017294,0.72
