,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-14.003065,-23.058441,46.13716,-7.5264153,-14.680629,-2.0250726,-2.6686835,-4.7989693,16.956556,28.177288,15.778368,-7.974331,4.7876525,-21.96074,3.3260107,-9.688106
1,-8.993788,-30.84298,37.763935,-12.150796,-4.5595613,3.3687975,-16.726458,-0.45046282,19.561825,22.228985,12.471409,-5.286638,14.282381,-17.962238,0.85894245,-2.1769516
2,-13.749965,-23.094172,46.29172,-7.6663136,-14.803009,-1.6748536,-2.4283454,-4.9500256,17.406736,28.317436,15.914805,-8.123228,4.782705,-22.04012,3.0030663,-9.79318
3,-14.3434515,-20.237873,46.55186,-10.75259,-14.618931,-0.11516031,-1.7495306,-9.018958,15.4624605,29.991219,15.747241,-7.88023,3.0599527,-19.909452,2.3368266,-10.616964
4,-14.600085,-24.964235,47.840824,-9.83812,-15.556587,-2.5104117,-6.1307626,-6.21683,17.894226,29.233135,18.129982,-9.611552,4.6206274,-22.341133,4.0511174,-10.847528
5,-14.488168,-22.791668,45.22363,-10.409051,-12.232436,1.121869,-3.0022578,-6.8088408,15.872692,27.759083,14.160676,-6.1412964,5.965801,-19.239645,0.48820052,-8.474097
6,-16.701672,-21.084667,44.461105,-11.038197,-11.631716,-3.029382,-6.6992993,-8.400414,10.862465,28.188805,13.767058,-6.5044007,4.511578,-18.633116,5.4307485,-9.573241
7,-14.743015,-23.180958,48.692795,-12.794088,-16.065826,0.8103986,-5.025367,-8.57096,17.965237,31.169197,18.955925,-8.469667,3.4499414,-19.92889,1.6273376,-9.790186
8,-16.665134,-21.153435,44.470184,-10.992881,-11.577405,-3.0749605,-6.6922016,-8.415191,10.906113,28.155533,13.706452,-6.5711656,4.580583,-18.734127,5.4546027,-9.668857
9,-8.874811,-29.825743,42.08474,-11.4683895,-8.41121,5.60504,-9.909473,-1.7134287,23.079885,24.985207,14.410214,-6.111033,12.364622,-19.652935,-2.347157,-3.948068
10,-16.714998,-21.266092,44.57997,-11.067471,-11.467189,-3.032736,-6.755524,-8.447736,10.914258,28.21559,13.623467,-6.5445075,4.7106504,-18.784876,5.4396253,-9.664799
11,-12.944144,-27.179249,46.628113,-11.892996,-11.613198,0.85508823,-8.111013,-6.4687977,19.367186,28.345528,15.727614,-8.6265135,8.374302,-21.632248,1.6293511,-9.419699
12,-13.249972,-27.233265,46.746006,-12.00361,-11.60568,0.89770424,-8.280099,-6.3451347,19.130941,28.438772,15.773904,-8.320863,8.389884,-21.41714,1.6057168,-9.090363
13,-15.94274,-19.013914,43.32073,-13.322478,-12.921362,-4.0643673,-9.316043,-11.343843,9.925177,28.852695,16.050781,-8.657425,1.6820346,-17.43326,7.4474244,-11.382185
14,-9.056031,-31.240995,37.49357,-12.267903,-4.245568,3.1348608,-17.706083,-0.14561981,19.37491,22.0149,12.480315,-5.2049656,14.569249,-17.853203,1.2104161,-1.8620219
15,-1.1700171,-42.59345,31.315346,-9.175938,5.6112165,3.725141,-27.548937,6.6113553,26.962347,14.470404,6.8797145,-8.055645,26.607277,-23.070238,1.4045438,-0.83890915
16,-13.489227,-23.163752,46.196487,-9.015969,-15.71651,-2.6943686,-4.9161644,-6.2891784,17.558992,28.609255,17.75485,-9.874778,3.660878,-21.980747,4.35407,-11.115796
17,-14.9271345,-20.020771,43.74493,-10.429045,-13.113573,-2.6708798,-5.481823,-8.121377,12.449554,28.151152,14.994838,-7.5462756,3.1621146,-18.886496,5.1769032,-9.899143
18,-15.483063,-19.623554,44.387573,-10.782123,-13.505763,-2.663128,-5.220488,-8.598778,12.02784,28.805176,15.249563,-7.371459,2.6845467,-18.690609,5.240285,-9.934715
19,-16.133604,-19.855625,44.77376,-10.9102545,-13.535927,-2.6234713,-5.454778,-8.313503,11.658163,29.019434,15.349826,-6.8031325,2.7713058,-18.40876,5.170968,-9.354065
20,-15.4094305,-20.021639,44.544968,-10.833889,-13.410754,-2.693848,-5.520426,-8.5292845,12.306606,28.828459,15.285357,-7.5301895,2.9403038,-18.935223,5.2902226,-10.008829
