,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-14.30475,-22.183504,45.260883,-8.207386,-13.269386,-3.784027,-3.7081704,-7.274212,14.817107,27.683323,14.326466,-9.258812,4.6484537,-22.255764,5.1402044,-12.161007
1,-13.224975,-21.435287,43.9375,-8.343637,-13.690961,-3.8747633,-4.3191113,-7.4255915,15.142795,27.200592,15.057549,-9.963741,3.8446443,-21.782757,5.4971375,-12.331086
2,-14.064718,-21.573818,44.60546,-8.653851,-12.546973,-3.9234335,-3.9669018,-8.2952,14.1255665,27.482927,13.651967,-9.568536,4.6183076,-22.050745,5.504343,-12.836102
3,-13.316064,-20.975462,43.57268,-8.8098755,-13.0977,-3.9442036,-4.5917583,-8.209767,14.384265,27.14993,14.522554,-9.972846,3.8326495,-21.477577,5.7486925,-12.6630945
4,-13.365523,-20.631634,43.400875,-9.366049,-13.026165,-3.7273908,-4.900855,-8.709756,14.058483,27.276781,14.614197,-9.909361,3.5987434,-20.994667,5.718984,-12.625678
5,-13.055218,-20.749327,43.312576,-8.943483,-13.153882,-3.7901542,-4.588077,-8.390684,14.476357,27.095377,14.628524,-10.093789,3.6595044,-21.307627,5.662771,-12.721637
6,-13.419163,-20.861002,43.57021,-9.021459,-13.150666,-3.7173002,-4.627217,-8.266846,14.277591,27.240858,14.636617,-9.7623625,3.726483,-21.16824,5.5740657,-12.419033
7,-13.837907,-21.96839,43.646545,-9.4516535,-12.915687,-4.879079,-6.9892235,-8.264702,13.972312,27.054523,15.1067505,-10.3808155,4.079609,-21.500809,6.8035617,-12.808249
8,-13.312448,-21.948572,43.417175,-9.008055,-13.036321,-5.1199083,-6.6777754,-8.195917,14.4336195,26.810614,15.086368,-10.905658,4.0479856,-21.975471,6.9461427,-13.308695
9,-13.499384,-21.24747,43.50301,-9.995766,-12.937899,-4.4045734,-6.543333,-9.212828,13.980155,27.283081,15.075391,-10.639307,3.6778326,-21.21012,6.5121565,-13.257775
10,-13.786182,-21.037561,43.904232,-9.0362215,-14.0098915,-3.6808887,-4.972434,-7.5705137,14.493874,27.509596,15.663556,-9.4276285,3.287077,-20.806509,5.5019317,-11.60851
11,-13.873816,-21.415161,43.847454,-10.01002,-13.781573,-4.358116,-6.853823,-8.535354,14.18604,27.556057,16.073874,-10.297374,3.2475193,-20.85313,6.4258265,-12.460581
12,-13.666944,-22.134876,43.75371,-9.018655,-13.837857,-5.0656724,-6.984424,-7.526694,14.649489,27.070026,16.042355,-10.572572,3.655596,-21.64121,6.853482,-12.530405
13,-14.199606,-22.15054,43.983383,-9.472693,-13.739222,-4.824666,-7.315596,-7.5883393,14.187109,27.320938,16.093279,-10.042864,3.6683729,-21.148388,6.7142043,-12.011938
14,-13.59912,-20.788824,43.61537,-9.319032,-13.077855,-3.6329865,-4.8940487,-8.416545,14.021626,27.393305,14.6654215,-9.592707,3.6847923,-20.918354,5.614061,-12.243579
15,-13.501981,-20.800364,43.64048,-9.325663,-13.136086,-3.5884287,-4.846131,-8.448129,14.165468,27.415522,14.725828,-9.684585,3.6660686,-20.976513,5.5729895,-12.313889
16,-13.600356,-20.833633,43.303646,-8.997617,-13.078817,-3.807812,-5.006136,-7.9346066,13.920888,27.104223,14.661862,-9.421824,3.710514,-20.831244,5.7181416,-11.932214
17,-13.730292,-20.49407,43.26684,-9.201356,-13.15586,-3.6824858,-4.8970804,-8.177461,13.65811,27.215,14.712042,-9.280446,3.4649615,-20.52083,5.640256,-11.864778
18,-13.636881,-20.737442,43.18389,-8.838323,-13.060314,-3.8356376,-4.844018,-7.8149033,13.803485,26.995853,14.56619,-9.297125,3.6908407,-20.768064,5.690739,-11.839883
19,-14.538201,-22.74821,44.03292,-9.748858,-13.163738,-5.537757,-8.623601,-7.81815,13.643084,27.218842,15.851963,-10.307728,4.1020603,-21.408028,7.5329833,-12.390719
20,-13.809244,-22.750938,44.46926,-10.00976,-13.080667,-4.8071856,-7.6424084,-8.678216,14.676419,27.531015,15.603475,-10.96381,4.324636,-21.999037,6.828697,-13.317138
21,-13.559362,-22.68564,44.29149,-9.948667,-13.064882,-4.844947,-7.5994544,-8.75837,14.811898,27.421238,15.5778055,-11.178286,4.296085,-22.096024,6.8716927,-13.518839
22,-13.909506,-22.124052,43.7727,-9.826367,-13.196899,-4.838466,-7.585714,-8.295385,14.110806,27.224272,15.660448,-10.465833,3.9031441,-21.308477,6.8685584,-12.658674
23,-12.106711,-24.065992,41.61658,-8.363309,-10.030674,-2.4964564,-7.1311793,-5.136697,15.686713,24.99959,12.727922,-8.4545145,7.589857,-21.283573,4.552013,-9.844765
24,-12.845513,-21.657444,44.176044,-7.5729012,-13.885472,-3.3597968,-3.1045983,-6.5719514,16.035162,27.168987,14.897208,-9.692716,4.1548862,-22.229254,4.789615,-11.916238
25,-14.514517,-21.661856,44.680412,-9.05085,-13.565057,-2.8904974,-4.6424184,-6.754493,14.366005,27.896992,15.163111,-8.121315,4.086657,-20.597084,4.7361875,-10.279922
26,-13.730268,-20.339651,44.754585,-10.757974,-13.435341,-1.8413845,-3.9756293,-9.654899,14.55826,28.661005,15.080705,-9.196052,3.3635871,-20.24014,4.165488,-12.013147
27,-13.410636,-20.832916,43.666397,-9.232532,-13.033064,-3.5406187,-4.648191,-8.470102,14.258923,27.387083,14.556073,-9.727097,3.7861733,-21.12049,5.5028954,-12.426963
28,-13.363308,-20.832405,43.67201,-9.245158,-13.076408,-3.521018,-4.6442003,-8.4838915,14.327724,27.400164,14.608487,-9.7731695,3.7607172,-21.134676,5.488516,-12.451954
29,-13.16848,-20.818026,43.322315,-8.923825,-12.995453,-3.551129,-4.4961824,-8.164182,14.401785,27.075912,14.464073,-9.729698,3.8465326,-21.149704,5.436327,-12.339417
