,CHEMBLID,smiles,ido_ic50,tdo_ic50,embed
82,3h,COC1=C(OC)C=CC2=C1C=NC(C3=CC=C4N=CSC4=C3)=C2,4.0,4.0,"[-14.230419  -21.720095   44.003662   -7.7935367 -14.99828    -3.1762288
  -4.8744845  -4.28168    14.989877   27.46637    16.66265    -7.515062
   3.3271987 -20.157103    4.90068    -8.419996 ]"
83,3i,COC1=C(OC)C=CC2=C1C=NC(C3=CC4=CC=CC=C4O3)=C2,4.0,4.0,"[-12.86372   -21.370611   44.240715   -6.605163  -14.129288   -3.212304
  -1.7777127  -5.640825   16.092806   27.142406   14.583415   -9.066435
   4.118326  -22.361094    4.4637065 -11.274673 ]"
84,3j,COC1=C(OC)C=CC2=C1C=NC(C3=CC=CN=C3)=C2,4.0,4.0,"[-14.5444565  -22.243952    46.825314    -8.182953   -14.352373
  -0.55451465  -0.94666415  -5.482907    16.476654    28.987967
  15.01045     -6.7912474    4.7569485  -21.249023     1.9579388
  -8.992031  ]"
85,3k,COC1=C(OC)C=CC2=C1C=NC(C3=CC=CS3)=C2,4.949233688766958,5.537602002101044,"[-13.852266  -20.725111   43.674717   -8.847629  -14.802931   -2.9519448
  -4.9615254  -6.0687957  14.598673   27.753471   16.573788   -8.18949
   2.7415118 -19.767214    5.035878   -9.471954 ]"
86,19a,OC1=C(OC)C=CC2=C1C=NC(C3=CC=CC=C3)=C2,6.050609993355088,6.619788758288394,"[-14.222664   -23.4626      47.494976    -7.642952   -15.07747
  -0.38103887  -0.95752335  -4.328218    18.051336    29.004663
  15.874292    -7.050802     5.1283813  -21.983501     1.5230174
  -8.681085  ]"
87,19b,OC1=C(OC)C=CC2=C1C=NC(C3=CC(OCO4)=C4C=C3)=C2,5.292429823902063,6.552841968657781,"[-1.3082904e+01 -2.5705145e+01  4.4890408e+01 -7.3617496e+00
 -1.1397343e+01  6.0091726e-03 -3.7345097e+00 -2.6885262e+00
  1.8132668e+01  2.6518011e+01  1.3306228e+01 -6.3205967e+00
  8.5743504e+00 -2.1918077e+01  1.3966618e+00 -7.4049869e+00]"
88,19c,OC1=C(OC)C=CC2=C1C=NC(C3=CC=C(C)C=C3)=C2,4.0,4.0,"[-14.565616  -23.459854   47.514355   -7.7319922 -15.166053   -0.383926
  -1.2181715  -4.1098313  17.73379    29.053057   16.044765   -6.682141
   5.0322824 -21.637768    1.5393226  -8.22732  ]"
89,19d,OC1=C(OC)C=CC2=C1C=NC(C3=CC=C(OC)C=C3)=C2,6.1487416512809245,6.346787486224656,"[-14.679744   -23.540401    47.763554    -7.721932   -15.141883
  -0.21334809  -0.92704654  -4.118386    17.805613    29.163074
  15.942637    -6.5547276    5.1472096  -21.69936      1.3139775
  -8.195864  ]"
90,19e,OC1=C(OC)C=CC2=C1C=NC(C3=CC=C(F)C=C3)=C2,4.0,4.292770580672706,"[-14.681887  -23.42266    47.63481    -7.7717338 -15.119927   -0.2534138
  -1.0285292  -4.161637   17.665375   29.133944   15.941931   -6.534401
   5.071085  -21.584734    1.3953449  -8.162739 ]"
91,19f,OC1=C(OC)C=CC2=C1C=NC(C3=CC=C(C(F)(F)F)C=C3)=C2,4.81559251458768,5.137868620686963,"[-14.491067   -23.503897    47.612564    -7.4656     -15.192659
  -0.34048352  -0.7341918   -4.0276604   17.944412    28.989826
  15.901916    -6.728656     5.122233   -21.870892     1.3536029
  -8.3751955 ]"
92,19g,OC1=C(OC)C=CC2=C1C=NC(C3=CC=CS3)=C2,4.677987561417599,5.991399828238082,"[-13.576669  -21.535683   43.96928    -8.576874  -15.321052   -3.0249267
  -5.3204474  -5.398845   15.609494   27.686989   17.29702    -8.561628
   2.8925278 -20.236168    4.96496    -9.41059  ]"
93,28a,OC1=C(OC)C=CC2=NC(C3=CC=CC=C3)=NC=C12,4.0,4.0,"[-14.217942   -22.834818    46.965168    -8.210077   -14.028399
  -0.46742165  -1.1368046   -5.5641546   17.02436     28.878937
  14.817476    -7.167159     5.2873516  -21.74186      1.8554738
  -9.386291  ]"
94,28b,OC1=C(OC)C=CC2=NC(C3=CC=C(OC)C=C3)=NC=C12,4.0,4.0,"[-14.690008  -22.886513   47.221348   -8.29148   -14.075274   -0.3141785
  -1.1012732  -5.3760767  16.735672   29.033676   14.8605175  -6.6638985
   5.2998137 -21.446968    1.6621573  -8.911749 ]"
95,31a,OC1=C2C=CC(C3=CC=CC=C3)=NC2=CC=C1OC,4.0,5.251811972993799,"[-14.146968   -23.34891     47.29948     -7.8651705  -14.573474
  -0.24599119  -0.9957076   -4.707327    17.79868     28.929348
  15.391761    -7.026282     5.351732   -21.911419     1.489175
  -8.844051  ]"
96,31b,OC1=C2C=CC(C3=CC=C(OC)C=C3)=NC2=CC=C1OC,4.0,4.0,"[-14.598966   -23.415127    47.55609     -7.959657   -14.613918
  -0.07519357  -0.9702054   -4.5263968   17.536705    29.085188
  15.43795     -6.535168     5.3760443  -21.622593     1.2836608
  -8.375254  ]"
97,35,O=C(NC1=CC=CC=C1)C2=CC=C(C3=CC4=C(C=N3)C(O)=C(OC)C=C4)C=C2,4.995678626217358,6.6020599913279625,"[-15.85509   -24.597136   48.157562   -8.826595  -14.811825   -1.571816
  -4.094305   -4.5609174  16.668148   29.354654   16.535862   -6.9046764
   5.353606  -21.58269     2.9140515  -8.438948 ]"
98,40a,O=C(NC1=CC=C(C2=CC3=C(C=N2)C(O)=C(OC)C=C3)C=C1)C4=CC=CC=C4,5.351639989019068,6.721246399047171,"[-15.852808  -24.628664   48.175167   -8.81827   -14.797651   -1.5736818
  -4.093745   -4.5543723  16.687122   29.352747   16.521173   -6.9130163
   5.3817987 -21.61132     2.9106638  -8.451653 ]"
99,40b,O=C(NC1=CC=C(C2=CC3=C(C=N2)C(O)=C(OC)C=C3)C=C1)C4=CC=C(F)C=C4,4.0,4.0,"[-16.171116  -24.572458   48.294373   -8.937704  -14.848719   -1.4587256
  -4.113602   -4.4837704  16.426762   29.4724     16.585585   -6.5629864
   5.314704  -21.322062    2.801678   -8.109289 ]"
100,40c,O=C(NC1=CC=C(C2=CC3=C(C=N2)C(O)=C(OC)C=C3)C=C1)C4=CC=C(C(F)(F)F)C=C4,4.0,5.488116639021126,"[-16.011103  -24.623363   48.277843   -8.707648  -14.897752   -1.5146756
  -3.8706646  -4.400499   16.646519   29.368816   16.543526   -6.7195077
   5.3543134 -21.545973    2.7646368  -8.286097 ]"
101,40d,O=C(NC1=CC=C(C2=CC3=C(C=N2)C(O)=C(OC)C=C3)C=C1)C4=CC=C(C)C=C4,4.0,4.343901797987169,"[-16.08184   -24.61308    48.202164   -8.898121  -14.873142   -1.5481697
  -4.2514634  -4.425258   16.484581   29.40488    16.652208   -6.6613894
   5.3018274 -21.364143    2.8993487  -8.141684 ]"
102,40e,O=C(NC1=CC=C(C2=CC3=C(C=N2)C(O)=C(OC)C=C3)C=C1)C4=CC=CC(OC)=C4,4.846795099915716,5.38933983691012,"[-15.941602  -24.507109   48.240753   -8.825869  -14.89736    -1.5424144
  -3.9246352  -4.6232753  16.619598   29.41777    16.561361   -6.856834
   5.2667985 -21.540789    2.8492455  -8.45337  ]"
103,40f,CC(NC1=CC=C(C2=CC3=C(C=N2)C(O)=C(OC)C=C3)C=C1)=O,5.675717544702307,6.455931955649724,"[-15.1337595 -25.115326   48.190304   -8.466351  -14.987619   -1.991288
  -4.0950217  -4.6999865  17.675209   29.078247   16.72527    -8.037224
   5.526065  -22.57413     3.1304154  -9.55271  ]"
104,40g,CC(C)(C)C(NC1=CC=C(C2=CC3=C(C=N2)C(O)=C(OC)C=C3)C=C1)=O,5.55129368009492,5.920818753952375,"[-15.660902  -25.455727   48.38499    -9.252811  -14.7462435  -2.193637
  -5.361596   -5.139858   17.136621   29.268713   16.935137   -8.018967
   5.6074805 -22.255087    3.501983   -9.540611 ]"
105,40h,O=C(NC1=CC=C(C2=CC3=C(C=N2)C(O)=C(OC)C=C3)C=C1)C(F)(F)F,5.212539525481585,5.935542010773082,"[-15.663015  -25.570019   48.32329    -8.945095  -14.91254    -2.2749639
  -5.355259   -4.6284733  17.247478   29.163729   17.073233   -7.8715606
   5.61124   -22.270527    3.5210428  -9.216013 ]"
106,43a,CS(=O)(NC1=CC=C(C2=CC3=C(C=N2)C(O)=C(OC)C=C3)C=C1)=O,5.906578314837765,6.698970004336019,"[-15.173681  -25.243649   48.170116   -8.669281  -14.97776    -2.0182674
  -4.5132585  -4.7307124  17.64749    29.083988   16.887707   -8.078361
   5.5285254 -22.477743    3.2158604  -9.501397 ]"
107,43b,O=S(C(F)(F)F)(NC1=CC=C(C2=CC3=C(C=N2)C(O)=C(OC)C=C3)C=C1)=O,6.508638306165727,7.096910013008056,"[-15.094669  -25.18327    48.048767   -8.84989   -15.00917    -1.8764116
  -4.634313   -4.8134966  17.700985   29.060747   17.015797   -8.094252
   5.4498115 -22.304567    3.112107   -9.442337 ]"
108,43c,O=S(C1CC1)(NC2=CC=C(C3=CC4=C(C=N3)C(O)=C(OC)C=C4)C=C2)=O,5.342944147142896,5.473660722610156,"[-13.4903345  -26.192087    45.268368    -9.699895   -12.185628
   0.10970603  -7.007256    -3.693572    18.101711    27.351084
  15.53373     -6.856073     7.719094   -20.781174     1.958964
  -7.1331663 ]"
109,43d,O=S(N1CCCCC1)(NC2=CC=C(C3=CC4=C(C=N3)C(O)=C(OC)C=C4)C=C2)=O,4.813326132500255,5.098541678603888,"[ -9.911153   -31.256895    42.305424   -10.246302    -5.991225
   2.7201052  -11.111414    -1.7463064   21.182755    24.202831
  11.590318    -6.76576     14.344964   -21.891376     0.18263587
  -5.760461  ]"
110,46,O=C(NC1=CC=CC=C1)NC2=CC=C(C3=CC4=C(C=N3)C(O)=C(OC)C=C4)C=C2,4.296794629304514,4.8449677712090296,"[-15.897995  -26.544495   49.374493   -9.390694  -14.490724   -2.130945
  -5.6889267  -5.057926   17.66196    29.649652   16.811066   -8.133999
   6.397219  -22.962585    3.4286575  -9.712506 ]"
