class,f1-score,recall,Specificity,precision,ROC_AUC_score,matthews_corrcoef,accuracy
AA,0.59,0.63,0.85,0.55,0.834101153081613,0.480000003869993,0.64
AI,0.75,0.72,0.93,0.78,0.834101153081613,0.480000003869993,0.64
IA,0.19,0.18,0.94,0.2,0.834101153081613,0.480000003869993,0.64
II,0.69,0.69,0.76,0.7,0.834101153081613,0.480000003869993,0.64
