,mol2vec100,mol2vec300,chemdist,chemberta MTR,chemberta MLM,Morgan 1024,Morgan 2048,count morgan 1024,count morgan 2048,maccskey
"Knn , weight=uniform",0.860817017779334,0.871500787815126,0.802567207438531,0.866369047619048,0.785209257314037,0.867814347961407,0.863922687130408,0.879947065631808,0.873630806489262,0.833876901455026
"Knn , weight=distance",0.838137789838158,0.858531016573296,0.800143460161843,0.841091245525988,0.779175055438842,0.848799311391223,0.844871177637722,0.861494806255836,0.856126478369126,0.781843049719888
"Svm , kernel = rbf , class_weight=None",0.822924933862434,0.829898070339247,0.804777223389356,0.838944570883909,0.793617724867725,0.882763139978214,0.879933084344849,0.85739038671024,0.856900920090258,0.814196477201992
"Svm , kernel = linear , class_weight=None",0.775154888344226,0.813997821350763,0.696862112900716,0.819519335511983,0.772227814737006,0.876810759025833,0.876402991752257,0.873256351151572,0.872689561935886,0.798348749221911
"Svm , kernel = rbf , class_weight=balanced",0.851263178882664,0.855868493230626,0.818870360644258,0.859356763538749,0.823208693199502,0.899452906162465,0.895689873171491,0.893021271008403,0.890174194677871,0.843419798474946
"Svm , kernel = linear , class_weight=balanced",0.79480017701525,0.81296320611578,0.689471969343293,0.816502295362589,0.775503083177716,0.876137712029256,0.876467184095861,0.872898430205416,0.872207389900405,0.823936206427015
